"","Codigo","Estacion","Municipio","Departamento","Latitud","Longitud","(m.s.n.m)","ENE","FEB","MAR","ABR","MAY","JUN","JUL","AGO","SEP","OCT","NOV","DIC","prom Anual","anosInformacion","fecha Inicio","fecha Final"
"249",24015130,"Simijaca","Simijaca","Cundinamarca","5,50","-73,85",2572,"7,0","6,6","5,7","5,0","4,8","4,9","5,6","5,6","5,5","5,3","5,6","5,7","5,6",23,"ene-85","nov-08"
"250",21205720,"Granja San Jorge","Soacha","Cundinamarca","4,50","-74,18",2900,"5,4","5,1","4,3","3,9","4,3","4,8","5,3","5,3","5,0","4,2","4,1","5,0","4,7",29,"oct-83","feb-12"
"251",21205570,"La Primavera","Subachoque","Cundinamarca","4,85","-74,22",2590,"6,0","5,0","4,1","3,5","4,0","4,0","4,7","4,0","4,0","3,5","4,7","5,7","4,4",10,"ene-74","dic-90"
"252",21205650,"Tabio","Tabio","Cundinamarca","4,77","-73,93",2620,"6,2","5,6","4,6","3,9","3,7","3,8","4,0","4,2","4,2","4,3","4,8","5,4","4,6",23,"jun-70","sep-97"
"253",21205980,"Granja Providencia","Tenjo","Cundinamarca","4,78","-74,20",2560,"5,2","4,5","3,1","2,5","2,4","2,6","2,8","3,0","2,9","3,2","3,7","3,5","3,3",28,"ene-81","jul-12"
"254",21195030,"Granja Tibacuy","Tibacuy","Cundinamarca","4,35","-74,42",1550,"4,8","4,0","3,6","3,2","3,7","4,1","3,9","4,0","4,0","3,6","3,5","5,1","4,0",9,"ene-84","dic-94"
"255",21206400,"La Victoria","Tocaima","Cundinamarca","4,47","-74,60",380,"5,8","4,9","5,4","4,4","5,1","5,0","5,7","5,0","5,5","4,9","4,8","6,0","5,2",4,"ene-87","sep-90"
"256",21206450,"Termozipa","Tocancipá","Cundinamarca","4,98","-73,93",2497,"5,1","5,2","3,8","2,4","3,2","3,9","3,8","3,9","4,9","4,1","4,3","5,0","4,1",4,"may-92","dic-95"
"257",35065020,"Mambita","Ubalá","Cundinamarca","4,77","-73,33",840,"5,5","4,1","3,0","2,4","2,8","1,7","3,0","3,9","3,9","3,4","4,7","4,8","3,6",3,"mar-79","jun-82"
"258",24015190,"Novilleros","Villa de San Diego de U","Cundinamarca","5,33","-73,78",2550,"6,1","5,0","4,4","3,9","3,7","3,1","3,7","3,8","3,6","3,6","4,2","5,1","4,2",8,"ene-83","dic-90"
"259",21206320,"La Fortuna","Villapinzón","Cundinamarca","5,28","-73,60",2880,"5,5","3,9","4,2","3,0","2,9","2,1","3,7","3,7","4,1","3,8","3,9","4,9","3,8",6,"ene-85","dic-90"
"260",23065200,"El trapiche","Villeta","Cundinamarca","5,02","-74,50",1068,"5,4","5,1","4,4","3,9","4,3","4,8","4,7","5,6","5,4","4,5","4,0","4,3","4,7",4,"jun-09","jun-12"
"261",23065130,"Montelíbano","Yacopi","Cundinamarca","5,47","-74,37",1340,"4,7","4,2","3,5","3,5","4,2","4,7","5,3","5,1","4,4","3,5","4,4","4,6","4,4",9,"ene-70","dic-92"
"262",23065110,"Yacopi","Yacopí","Cundinamarca","5,48","-74,35",1347,"4,9","4,2","3,5","3,5","4,2","5,2","6,2","5,5","4,6","4,3","4,5","4,6","4,6",31,"ene-79","ago-11"
"263",31095010,"Puerto Inírida","Inírida","Guainía","3,87","-67,92",100,"6,9","6,3","5,5","4,5","3,9","4,1","4,5","5,2","5,8","5,7","5,6","5,9","5,3",31,"dic-78","dic-12"
"264",31015010,"El Trueno","San José del Guaviare","Guaviare","2,37","-72,63",150,"5,9","5,2","4,0","3,4","3,3","3,0","3,4","3,9","4,8","4,7","4,6","5,0","4,3",30,"sep-82","dic-12"
"265",32105070,"San José Guaviare","San José del Guaviare","Guaviare","2,55","-72,63",165,"6,1","5,5","4,5","4,0","3,3","3,2","3,7","4,3","5,2","5,0","5,0","5,3","4,6",27,"abr-84","dic-12"
"266",32155010,"Mapiripana","San José del Guaviare","Guaviare","2,80","-70,53",140,"5,9","6,0","4,7","3,9","3,8","2,6","3,8","4,5","5,4","5,3","5,1","5,7","4,7",20,"abr-84","dic-12"
"267",21035030,"Cueva Los Guácharos","Acevedo","Huila","1,58","-76,00",2225,"3,6","3,2","2,3","2,5","3,0","2,5","2,7","2,9","2,9","3,0","2,7","3,4","2,9",9,"ene-79","ago-87"
"268",21105030,"Algeciras","Algeciras","Huila","2,52","-75,32",1155,"5,0","4,0","3,6","3,6","3,8","3,5","3,8","4,0","3,9","3,8","3,9","4,5","4,0",9,"ene-79","abr-12"
"269",21025020,"Altamira","Altamira","Huila","2,07","-75,80",1352,"5,5","4,7","3,9","4,0","4,7","4,5","4,0","4,0","4,5","4,8","4,9","5,6","4,6",16,"abr-79","ene-95"
"270",21025030,"Altamira El Grifo","Altamira","Huila","2,07","-75,73",1368,"5,3","4,8","3,7","4,0","4,1","4,4","4,4","4,8","4,5","4,6","4,6","5,2","4,5",16,"ene-96","dic-12"
"271",21105050,"Los Rosales","Campoalegre","Huila","2,60","-75,42",553,"5,7","5,1","4,1","4,2","4,4","4,6","4,6","4,6","4,4","4,8","4,8","5,1","4,7",34,"ene-79","dic-12"
"272",21145070,"La Legiosa","Colombia","Huila","3,30","-74,70",1476,"5,3","4,7","3,4","3,1","3,0","2,4","2,8","3,6","4,6","4,4","4,2","4,8","3,9",34,"ene-79","dic-12"
"273",21065040,"Zuluaga","Garzón","Huila","2,25","-75,52",1270,"4,1","3,6","2,7","2,5","2,8","2,8","3,0","2,9","3,2","3,1","3,3","3,7","3,1",34,"ene-79","dic-12"
"274",21065030,"Jorge Villamil","Gigante","Huila","2,37","-75,55",1500,"3,6","2,9","2,8","2,8","3,0","2,9","2,9","3,3","3,3","2,9","3,1","3,6","3,1",9,"ene-84","dic-94"
"275",21035020,"Resina","Guadalupe","Huila","1,90","-75,67",2102,"3,7","3,5","2,9","2,9","3,1","3,5","3,3","3,6","3,8","3,3","2,9","3,4","3,3",28,"ene-79","sep-07"
"276",21085020,"Íquira","Íquira","Huila","2,65","-75,62",1095,"5,3","4,8","3,9","4,4","4,5","4,9","4,4","5,0","4,9","4,8","4,2","4,7","4,7",18,"feb-84","mar-10"
"277",21055020,"Escuela Agr La Plata","La Plata","Huila","2,37","-75,88",1070,"4,9","4,5","3,7","3,7","4,0","3,9","3,9","4,1","4,2","4,3","4,3","4,8","4,2",34,"ene-79","dic-12"
"278",21115020,"Aeropuerto Benito Salas","Neiva","Huila","2,93","-75,28",439,"6,6","5,7","4,9","5,0","5,3","5,5","5,5","5,6","5,4","5,5","5,5","6,0","5,5",33,"mar-78","dic-12"
"279",21115100,"Palacio-Vegalarga","Neiva","Huila","2,93","-75,05",1100,"5,1","4,5","3,7","3,6","4,0","4,4","4,6","4,7","4,2","3,8","3,7","4,5","4,2",32,"ene-79","dic-12"
"280",21115150,"Villaranza","Neiva","Huila","2,93","-75,20",740,"5,7","5,0","4,8","4,7","5,8","4,9","5,1","5,1","5,0","4,6","5,2","6,2","5,2",5,"jun-83","dic-87"
"281",21095010,"El Juncal","Palermo","Huila","2,82","-75,32",460,"6,4","5,6","4,6","4,7","5,2","5,5","5,5","5,5","5,1","5,2","5,5","6,1","5,4",32,"abr-81","dic-12"
"282",21015020,"Sevilla","Pitalito","Huila","1,82","-76,12",1320,"4,8","4,1","3,2","3,5","3,9","3,8","3,7","3,9","4,2","4,2","4,3","4,7","4,0",33,"ene-79","dic-12"
"283",21015030,"Parque Arqueológico","San Agustín","Huila","1,88","-76,28",1800,"5,1","4,5","3,6","3,7","4,0","3,6","3,5","3,8","4,3","4,5","4,7","5,1","4,2",34,"ene-79","dic-12"
"284",21125010,"Santa María","Santa María","Huila","2,93","-75,58",1300,"5,2","4,8","3,9","3,8","4,5","4,8","4,8","4,8","4,7","4,0","4,0","4,7","4,5",30,"ene-79","dic-12"
"285",21085030,"San Rafael","Teruel","Huila","2,75","-75,57",1030,"5,0","4,4","3,7","3,8","4,0","4,3","4,0","4,1","4,4","4,2","3,8","4,2","4,2",22,"ene-86","dic-12"
"286",21115120,"La Boca","Villavieja","Huila","3,18","-75,27",420,"6,8","6,5","5,9","6,1","6,6","6,0","6,2","6,5","6,3","6,2","6,4","7,3","6,4",9,"sep-81","jul-89"
"287",21145040,"San Alfonso","Villavieja","Huila","3,37","-75,10",440,"5,1","4,8","4,1","4,6","5,0","5,0","5,3","5,4","5,1","4,8","4,5","4,3","4,8",33,"ene-79","may-12"
"288",15065050,"Camp Intercor","Albania","La Guajira","11,12","-72,52",122,"8,4","7,9","7,5","5,8","6,1","6,7","7,9","7,8","7,3","6,1","7,5","7,3","7,2",11,"jul-78","jul-89"
"289",15035020,"Termoguajira","Dibulla","La Guajira","11,25","-73,40",5,"7,5","6,2","6,0","5,2","4,7","6,2","6,8","6,2","5,3","5,3","5,6","6,4","5,9",16,"dic-91","feb-11"
"290",15065040,"La Paulina","Fonseca","La Guajira","10,88","-72,82",170,"9,4","9,2","8,2","6,8","6,5","7,3","8,0","7,4","6,6","6,4","7,8","8,5","7,7",20,"ene-76","jul-08"
"291",15065130,"La Mina","Hatonuevo","La Guajira","11,13","-72,60",80,"8,5","7,9","7,1","6,5","6,0","7,3","7,8","7,4","6,4","6,3","6,7","7,9","7,2",23,"abr-89","sep-12"
"292",15085010,"Aeropuerto Maicao","Maicao","La Guajira","11,40","-72,25",53,"8,5","8,2","7,1","5,3","6,0","7,4","8,2","8,3","6,6","6,2","7,4","7,2","7,2",8,"ene-79","sep-95"
"293",15085030,"Escuela Agronómica Carraipía","Maicao","La Guajira","11,20","-72,37",118,"7,2","6,6","6,0","4,8","4,7","6,1","7,0","6,8","5,8","5,7","6,0","6,4","6,1",34,"ene-79","oct-12"
"294",15075030,"Manaure","Manaure","La Guajira","11,77","-72,47",1,"7,6","7,2","7,0","6,2","6,5","7,7","7,6","8,0","7,1","6,3","6,7","6,7","7,0",25,"ago-79","sep-12"
"295",15045010,"Matitas","Riohacha","La Guajira","11,25","-73,02",20,"7,6","6,9","5,8","4,9","5,3","6,9","7,5","7,2","6,1","5,9","6,5","7,1","6,5",25,"ene-79","sep-12"
"296",15065010,"Aeropuerto Almirante Padilla","Riohacha","La Guajira","11,52","-72,92",4,"8,5","8,1","7,5","6,7","6,3","7,8","8,4","8,1","6,9","6,7","7,2","7,8","7,5",30,"dic-76","nov-12"
"297",15075010,"Bahía Honda","Uribía","La Guajira","12,32","-71,80",10,"8,3","8,3","7,1","5,8","6,3","7,0","5,8","6,8","6,5","6,4","7,7","7,8","7,0",8,"feb-79","jun-86"
"298",15075060,"Puerto Bolívar","Uribía","La Guajira","12,22","-71,98",10,"9,0","9,1","8,7","8,1","7,9","8,0","8,9","9,1","7,9","7,2","7,6","8,4","8,3",25,"oct-86","oct-12"
"299",15085020,"Nazareth","Uribía","La Guajira","12,17","-71,28",85,"7,1","6,9","6,6","5,5","5,6","7,0","7,9","7,9","6,8","5,9","6,2","6,1","6,6",32,"ene-79","jul-12"
"300",15085040,"Rancho Grande","Uribía","La Guajira","11,68","-71,82",50,"8,9","8,6","8,3","7,1","7,1","7,9","8,5","8,5","7,5","6,9","7,3","8,0","7,9",35,"mar-78","mar-12"
"301",28015070,"Urumita","Urumita","La Guajira","10,55","-73,00",255,"8,6","8,2","7,3","5,8","5,5","5,8","6,7","6,3","5,4","5,7","6,4","7,4","6,6",34,"ene-78","sep-12"
"302",29065090,"Luz Mary","Aracataca","Magdalena","10,60","-74,20",50,"8,8","8,4","6,5","5,7","5,7","5,8","6,4","6,4","5,8","6,0","6,2","7,8","6,6",8,"may-90","nov-97"
"303",15015020,"La Ye","Ciénaga","Magdalena","10,98","-74,20",20,"8,9","8,7","7,7","7,1","6,5","6,8","6,7","6,8","6,1","6,4","7,2","8,2","7,2",23,"ene-79","ago-12"
"304",25025090,"Aeropuerto Las Flores","El Banco","Magdalena","9,03","-73,97",34,"8,5","8,1","6,9","6,0","5,6","6,6","7,1","7,1","6,1","5,7","6,2","7,8","6,8",31,"ene-79","ago-12"
"305",29065010,"Zacapa","El Reten","Magdalena","10,58","-74,25",30,"7,8","7,9","6,5","6,0","5,7","5,7","6,5","6,0","5,4","5,4","6,4","7,2","6,4",10,"ene-80","feb-90"
"306",29065100,"Pativilca","El Reten","Magdalena","10,58","-74,22",55,"8,5","7,8","6,6","5,7","5,5","6,2","6,7","6,4","4,9","5,4","6,6","5,5","6,3",4,"dic-97","mar-12"
"307",25025320,"Los Álamos","San Sebastián de Buenavista","Magdalena","9,30","-74,27",25,"8,6","8,3","7,0","6,1","5,9","6,7","7,3","7,0","6,0","6,2","6,3","7,4","6,9",25,"ene-85","dic-12"
"308",15015050,"Aeropuerto Simón Bolívar","Santa Marta","Magdalena","11,12","-74,22",4,"9,2","8,8","8,1","7,6","7,2","7,6","7,5","7,1","6,7","6,6","7,3","8,7","7,7",26,"ene-84","dic-12"
"309",15015060,"San Lorenzo","Santa Marta","Magdalena","11,07","-74,03",2200,"3,1","3,0","2,9","2,6","2,5","2,8","3,4","3,1","2,4","1,8","1,7","2,5","2,7",32,"ene-79","oct-12"
"310",15015100,"Parque Tayrona","Santa Marta","Magdalena","11,28","-73,90",30,"6,6","6,0","5,8","4,9","4,9","5,3","6,1","6,1","5,8","5,0","5,6","5,3","5,6",13,"ene-79","mar-92"
"311",29065020,"Padelma","Zona Bananera","Magdalena","10,72","-74,18",20,"8,6","8,0","6,8","6,3","5,9","6,1","6,3","6,0","5,4","5,8","6,4","7,6","6,6",34,"ene-78","dic-12"
"312",29065030,"Prado Sevilla","Zona Bananera","Magdalena","10,75","-74,15",18,"8,2","8,3","6,9","6,5","6,0","6,0","6,4","6,2","5,6","5,8","6,4","6,7","6,6",30,"ene-80","ago-12"
"313",35105020,"Barranca De Upía","Barranca de Upía","Meta","4,57","-72,97",225,"6,9","6,3","4,4","4,6","4,6","3,8","4,4","4,9","5,8","5,9","5,8","6,5","5,3",12,"feb-78","dic-90"
"314",35105040,"Petriba","Barranca de Upía","Meta","4,38","-72,90",175,"7,7","6,4","4,4","3,8","4,2","3,8","3,7","3,9","5,0","5,4","5,4","7,1","5,1",4,"ene-91","abr-94"
"315",35105050,"Guaicaramo","Barranca de Upía","Meta","4,47","-72,95",190,"7,3","6,8","4,8","4,2","4,2","4,2","4,3","4,7","5,7","6,1","6,3","6,9","5,5",18,"oct-94","dic-12"
"316",35045020,"Hacienda La Cabaña","Cumaral","Meta","4,30","-73,35",305,"5,7","5,1","3,6","3,5","3,5","3,3","3,3","4,0","4,8","4,8","5,1","5,6","4,4",31,"oct-82","dic-12"
"317",32075020,"Puerto Limón","Fuente De Oro","Meta","3,37","-73,50",255,"6,6","6,0","4,1","3,9","4,6","3,6","4,1","4,6","4,9","4,9","5,7","6,1","4,9",10,"ene-78","nov-87"
"318",32075040,"La Holanda","Granada","Meta","3,50","-73,70",360,"6,4","5,4","3,9","3,6","4,2","4,1","4,1","4,5","5,1","5,2","5,5","6,2","4,8",28,"may-83","dic-12"
"319",32035010,"La Macarena","La Macarena","Meta","2,17","-73,78",350,"7,2","5,7","4,5","3,6","3,7","3,3","3,7","4,4","4,9","5,1","5,4","6,4","4,8",34,"abr-78","dic-12"
"320",32035020,"La Balsora","La Macarena","Meta","2,43","-73,92",372,"6,2","5,0","3,2","2,6","2,6","2,3","2,6","3,1","3,4","3,8","4,3","4,7","3,7",24,"abr-84","oct-12"
"321",32075050,"Mesetas","Mesetas","Meta","3,37","-74,03",620,"5,8","5,0","3,5","3,5","3,7","3,6","3,6","4,0","4,7","4,7","4,9","5,6","4,4",27,"jun-80","dic-12"
"322",33035010,"Carimagua","Puerto Gaitán","Meta","4,57","-71,33",200,"8,6","7,4","5,6","4,5","4,2","4,0","4,2","4,7","5,2","5,6","6,4","7,7","5,7",32,"ene-78","dic-12"
"323",32075080,"Puerto Lleras","Puerto Lleras","Meta","3,27","-73,37",245,"6,4","5,6","3,8","3,3","3,5","3,1","3,4","4,0","4,7","4,7","4,7","5,7","4,4",23,"oct-90","nov-12"
"324",35025030,"Pachaquiaro","Puerto López","Meta","4,07","-73,18",200,"7,4","6,2","4,9","4,5","4,2","3,5","3,7","5,1","5,2","5,8","6,0","7,2","5,3",7,"ene-79","abr-86"
"325",35125010,"Hacienda Las Margaritas","Puerto López","Meta","4,33","-72,15",150,"7,3","7,1","5,3","4,4","4,2","4,6","4,3","4,6","5,5","5,7","5,9","6,9","5,5",15,"feb-98","oct-12"
"326",35035030,"Salinas de Upín","Restrepo","Meta","4,30","-73,57",450,"5,1","4,2","2,6","2,8","2,8","2,0","2,8","3,6","4,1","4,2","3,9","4,9","3,6",9,"ene-79","dic-94"
"327",35015030,"San Carlos Guaroa","San Carlos Guaroa","Meta","3,72","-73,25",230,"6,7","5,1","4,4","4,2","4,1","3,8","4,0","4,4","5,4","5,2","5,4","6,6","4,9",10,"dic-82","abr-92"
"328",35015020,"Granja Iraca","San Martin","Meta","3,68","-73,70",400,"7,2","5,6","4,3","3,6","4,7","4,2","4,5","4,6","5,0","5,5","6,1","7,0","5,2",6,"ene-78","dic-83"
"329",35015050,"Barbascal","San Martin","Meta","3,62","-73,33",250,"6,7","6,1","4,3","4,1","4,3","4,1","4,3","4,7","5,2","5,5","6,0","6,1","5,1",20,"may-92","dic-12"
"330",35135010,"Cejalito","San Martin","Meta","3,72","-72,35",200,"7,9","8,0","5,9","4,5","5,2","4,5","5,1","5,0","5,6","5,5","6,2","7,1","5,9",7,"ene-78","abr-84"
"331",35025020,"La Libertad","Villavicencio","Meta","4,05","-73,47",336,"6,6","5,6","4,0","3,8","4,4","3,6","4,2","4,8","5,0","5,3","5,8","6,6","5,0",34,"ene-79","dic-12"
"332",35035010,"Base Aérea Apiay","Villavicencio","Meta","4,07","-73,55",400,"6,4","5,2","3,9","4,3","3,8","4,4","4,3","5,1","5,3","6,0","5,1","6,3","5,0",9,"jun-84","may-02"
"333",35035020,"Aeropuerto Vanguardia","Villavicencio","Meta","4,15","-73,62",423,"5,5","4,7","3,6","3,7","3,9","3,7","3,7","4,4","5,1","5,2","4,9","5,3","4,5",34,"ene-79","dic-12"
"334",35035070,"Unillanos","Villavicencio","Meta","4,07","-73,57",340,"5,8","5,3","3,5","3,5","3,8","3,8","3,8","4,2","4,7","4,9","5,0","5,5","4,5",24,"dic-83","dic-12"
"335",32075030,"Vista Hermosa","Vistahermosa","Meta","3,12","-73,75",325,"6,4","5,4","3,7","3,5","3,8","3,4","3,8","4,3","4,6","4,9","5,3","6,2","4,6",30,"ene-79","may-09"
"336",52055010,"Aeropuerto San Luis","Aldana","Nariño","0,85","-77,67",2961,"4,3","3,8","3,2","3,7","4,1","4,3","4,5","4,5","4,3","4,2","4,1","4,2","4,1",34,"ene-79","dic-12"
"337",51025050,"Altaquer","Barbacoas","Nariño","1,23","-78,08",1010,"1,7","1,9","2,0","2,4","2,3","2,3","2,8","2,7","2,0","1,8","1,7","1,5","2,1",19,"may-94","oct-12"
"338",52065020,"Barbacoas","Barbacoas","Nariño","1,67","-78,13",60,"3,0","3,2","3,3","3,9","3,4","3,1","3,3","2,9","2,1","2,3","2,4","2,6","3,0",31,"ene-82","ago-12"
"339",52045020,"Aeropuerto Antonio Nariño","Chachaguí","Nariño","1,38","-77,28",1816,"5,4","5,0","4,5","4,7","5,2","6,1","6,7","6,7","5,7","5,2","5,1","5,2","5,5",34,"ene-79","dic-12"
"340",52055030,"Bombona","Consacá","Nariño","1,18","-77,45",1493,"4,6","4,4","3,9","4,1","4,5","5,2","5,8","5,9","5,1","4,6","4,6","4,6","4,8",33,"jun-79","dic-12"
"341",52055070,"Ospina Pérez","Consacá","Nariño","1,27","-77,47",1700,"4,7","4,2","4,1","3,7","4,0","4,9","5,6","5,4","4,9","4,1","4,7","4,8","4,6",9,"ene-84","dic-94"
"342",52055200,"Funes","Funes","Nariño","1,00","-77,43",2181,"4,2","3,0","3,0","3,2","3,7","4,0","4,1","4,9","4,3","4,2","4,2","2,9","3,8",3,"oct-09","dic-12"
"343",52035010,"La Unión","La Unión","Nariño","1,62","-77,15",1800,"4,3","4,0","4,6","4,4","5,1","5,8","6,6","6,3","5,3","4,1","5,1","5,0","5,0",4,"ene-83","dic-86"
"344",52035030,"El Sauce","La Unión","Nariño","1,62","-77,10",1800,"4,8","3,6","4,9","4,0","4,2","4,8","5,6","5,5","5,3","3,6","3,7","3,7","4,5",4,"ene-87","dic-92"
"345",47015100,"El Encano","Pasto","Nariño","1,15","-77,15",2830,"3,2","2,7","2,1","2,0","2,0","2,1","2,1","2,2","2,4","2,9","3,1","3,3","2,5",28,"jun-85","dic-12"
"346",52045010,"Obonuco","Pasto","Nariño","1,18","-77,30",2710,"3,6","3,1","2,7","2,8","3,0","3,4","3,6","3,6","3,3","3,3","3,5","3,5","3,3",33,"ene-78","sep-12"
"347",52055040,"Botana","Pasto","Nariño","1,15","-77,27",2820,"3,4","3,3","2,6","2,8","2,9","3,1","3,8","4,1","3,9","3,5","3,5","2,8","3,3",33,"may-79","dic-12"
"348",47015080,"Monopamba","Puerres","Nariño","0,80","-77,30",1776,"2,7","2,1","1,6","1,7","1,7","1,3","1,3","1,5","2,0","2,6","3,2","2,9","2,0",28,"sep-84","jun-12"
"349",51025020,"Ricaurte","Ricaurte","Nariño","1,20","-77,98",1181,"2,1","2,2","2,4","2,3","2,7","2,7","3,7","3,6","3,0","2,3","2,4","2,5","2,7",13,"ene-78","jul-91"
"350",52045030,"San Bernardo","San Bernardo","Nariño","1,53","-77,02",2190,"4,0","3,6","3,1","3,4","3,8","4,6","5,2","5,3","4,5","3,9","3,4","3,6","4,0",26,"dic-86","dic-12"
"351",52055090,"Sindagua","Tangua","Nariño","1,10","-77,38",2800,"3,9","3,6","3,1","3,3","3,7","4,1","5,1","5,1","4,5","4,1","3,8","3,8","4,0",26,"ago-87","dic-12"
"352",51025010,"Granja El Mira","Tumaco","Nariño","1,55","-78,68",16,"2,6","3,1","3,4","3,4","2,7","2,0","2,7","2,5","1,9","2,1","1,9","2,1","2,5",33,"mar-78","dic-12"
"353",51035010,"Aeropuerto La Florida","Tumaco","Nariño","1,80","-78,77",3,"3,6","4,8","5,5","5,1","4,0","3,9","4,5","4,9","3,1","3,8","3,8","3,7","4,2",7,"sep-83","ago-91"
"354",51035020,"Cccp Dl Pacifico","Tumaco","Nariño","1,82","-78,72",1,"3,7","4,5","5,1","5,1","4,0","3,7","4,2","4,6","3,5","3,5","3,3","3,4","4,0",20,"mar-93","dic-12"
"355",52055020,"El Paraíso","Túquerres","Nariño","1,07","-77,63",3120,"3,7","3,2","2,8","2,9","3,4","4,0","4,4","4,2","3,7","3,6","3,6","3,8","3,6",34,"ene-78","dic-12"
"356",16055040,"Abrego Centro Admo","Abrego","Norte de Santander","8,08","-73,22",1430,"7,0","6,2","5,5","4,5","4,7","5,5","6,1","5,6","4,8","4,7","5,2","6,1","5,5",30,"nov-78","may-11"
"357",23195180,"Escuela Agronómica Cáchira","Cáchira","Norte de Santander","7,73","-73,05",1882,"6,9","6,3","5,1","3,9","3,6","3,9","4,2","4,2","3,7","3,9","4,8","6,3","4,7",15,"ene-79","mar-11"
"358",16015060,"Blonay","Chinácota","Norte de Santander","7,58","-72,60",1235,"4,2","3,4","2,6","3,2","3,6","4,0","4,0","4,2","4,1","3,6","3,4","4,1","3,7",9,"ene-84","dic-94"
"359",16055090,"Instituto Agronómico Convención","Convención","Norte de Santander","8,47","-73,33",1076,"5,5","4,8","4,1","3,8","4,8","6,1","6,9","6,7","5,5","5,2","5,0","4,4","5,3",22,"oct-90","sep-11"
"360",16015010,"Aeropuerto Camilo Daza","Cúcuta","Norte de Santander","7,92","-72,50",250,"6,5","6,0","4,9","4,8","5,8","6,0","6,6","7,0","6,7","6,3","6,3","6,3","6,1",31,"may-79","dic-12"
"361",16015040,"Santa Isabel","Cúcuta","Norte de Santander","8,23","-72,43",90,"5,0","4,9","4,2","4,3","5,5","5,9","6,6","6,9","6,5","5,8","5,2","4,3","5,4",19,"ene-79","nov-01"
"362",16015050,"San Faustino","Cúcuta","Norte de Santander","8,07","-72,42",200,"5,6","5,7","4,6","4,4","5,7","5,5","7,5","6,8","7,1","6,0","5,2","4,9","5,8",3,"ene-79","jul-81"
"363",16025010,"Carmen De Tonchalá","Cúcuta","Norte de Santander","7,83","-72,55",285,"4,7","4,5","3,6","3,5","4,6","4,8","5,6","6,1","5,8","5,1","4,6","4,3","4,8",34,"sep-78","may-12"
"364",16025040,"Cinera-Villa Olga","Cúcuta","Norte de Santander","8,17","-72,47",100,"5,1","4,7","3,6","3,6","5,4","5,8","6,4","6,8","6,1","5,7","5,2","4,2","5,2",34,"ene-79","jun-12"
"365",16025050,"Limoncito","Cúcuta","Norte de Santander","8,10","-72,57",120,"6,1","6,7","5,8","5,0","5,9","6,0","7,4","7,0","6,4","6,1","5,6","5,4","6,1",3,"ene-79","nov-81"
"366",16025070,"Ceez Ica","Cúcuta","Norte de Santander","8,18","-72,52",100,"5,5","6,6","4,6","5,2","6,0","6,3","6,6","7,2","6,4","6,2","5,8","5,3","6,0",3,"ene-84","dic-87"
"367",16025080,"Granja H.J.C","Cucutilla","Norte de Santander","7,55","-72,77",1380,"4,0","2,8","2,9","2,7","3,0","3,1","3,7","3,9","3,3","4,1","4,8","3,9","3,5",4,"jul-95","sep-99"
"368",16025020,"Risaralda","El Zulia","Norte de Santander","8,23","-72,53",90,"5,0","4,8","4,7","4,1","5,4","5,4","6,5","6,4","6,2","5,3","4,8","4,4","5,2",26,"ene-79","oct-05"
"369",16015090,"Parque Nacional Tama","Herrán","Norte de Santander","7,42","-72,43",2500,"4,7","4,1","3,8","2,7","2,3","2,4","2,9","3,0","3,0","2,9","3,2","3,4","3,2",14,"abr-89","nov-02"
"370",16055060,"La Playa","La Playa","Norte de Santander","8,22","-73,23",1500,"6,0","5,6","4,8","4,1","4,5","5,8","6,6","6,2","4,8","4,6","4,6","5,2","5,2",26,"nov-84","jun-12"
"371",16055010,"Aeropuerto Aguas Claras","Ocaña","Norte de Santander","8,30","-73,35",1435,"7,0","6,2","5,0","4,4","4,7","5,8","6,5","5,9","5,1","4,8","5,1","6,1","5,5",28,"jul-82","jun-12"
"372",16055100,"Universidad Francisco de P. Santander","Ocaña","Norte de Santander","8,23","-73,32",1150,"5,8","5,3","4,0","3,6","4,1","5,0","5,8","5,3","4,2","4,2","4,0","4,7","4,7",21,"ene-92","may-12"
